discordUser,member_days_since_join,events_attended_year,distinct_event_days_year,attendance_streak_weeks,n_gbm_year,gbm_ratio,n_social_year,social_ratio,n_hello_world_year,hello_world_ratio,n_sponsorship_year,sponsorship_ratio,n_tech_exploration_year,tech_exploration_ratio,n_class_support_year,class_support_ratio,n_workshop_year,workshop_ratio,n_ops_year,ops_ratio,n_collabs_year,collabs_ratio,feedback_count_year,avg_event_rating_given,left_any_feedback,has_gone_to_hackathon,discord_member,discord_days_since_join,has_role_ops,discord_msgs_year,discord_active_days_year,discord_channels_posted_year,discord_num_roles,class,major,school,gender,race_or_ethnicity,y_paid_dues
yacobe_,166,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,175,0,1772,150,19,5,Senior,Computer Science,University of Central Florida,Man,Other,1
martinagbr,76,5,5,2,1,0.2,0,,0,,0,,0,,0,,0,,4,0.8,0,,0,,0,1,1,76,0,17,3,2,2,Junior,Computer Science,University of Central Florida,Prefer not to answer,Prefer not to answer,1
jsktn,79,2,2,1,1,0.5,0,,0,,0,,0,,0,,0,,1,0.5,0,,0,,0,1,1,83,1,1,1,1,14,Freshman,Computer Science,University of Central Florida,Man,Prefer not to answer,1
james.williams7863,70,3,6,4,1,0.3333333333333333,0,,1,0.3333333333333333,1,0.3333333333333333,0,,0,,0,,0,,0,,0,,0,1,1,69,0,1,1,1,5,Junior,Computer Science,University of Central Florida,Man,Black or African American,1
tripxtrooper,78,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,85,0,1,1,1,2,Sophomore,Computer Science,University of Central Florida,Man,Black or African American,1
kaevhi,274,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,980,1,15,9,5,11,Senior,Computer Science,University of Central Florida,Man,Prefer not to answer,1
litenin,309,10,14,5,2,0.2,0,,1,0.1,2,0.2,0,,2,0.2,0,,3,0.3,0,,1,7,1,0,1,447,1,1154,143,14,30,Junior,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
not_vinny,39,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,39,0,1,1,1,2,Senior,Computer Science,University of Central Florida,Man,White,1
atom323,36,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,80,0,1,1,1,4,Junior,Information Technology,University of Central Florida,Man,Asian,1
traczzz,78,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,77,0,5,5,2,1,Junior,Computer Science,University of Central Florida,Man,Prefer not to answer,1
eariz,295,0,4,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,449,1,160,22,4,15,Sophomore,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
barath.25,63,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,136,0,2,2,2,1,Senior,Computer Science,University of Central Florida,Man,Asian,1
ilu12345,38,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,284,0,1,1,1,2,Sophomore,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
valstarri,285,5,6,2,2,0.4,0,,1,0.2,0,,1,0.2,0,,0,,1,0.2,0,,0,,0,1,1,294,1,42,7,6,10,Sophomore,Computer Science,University of Central Florida,Man,Black or African American,1
beanss3932,37,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,844,0,0,0,0,10,Senior,Computer Science,University of Central Florida,Woman,Prefer not to answer,1
2nuts1sack,104,4,4,1,1,0.25,0,,0,,0,,2,0.5,0,,0,,0,,1,0.25,0,,0,1,1,103,1,4,3,2,10,Junior,Computer Science,University of Central Florida,Prefer not to answer,Prefer not to answer,1
todaly.,134,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,172,0,1,1,1,1,Freshman,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
janvi6619,119,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,119,1,1,1,1,9,Freshman,Computer Science,University of Central Florida,Woman,Prefer not to answer,1
maroc_99,96,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,344,0,1,1,1,1,Senior,Computer Science,University of Central Florida,Man,Middle Eastern,1
_theawesome1,53,0,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,82,0,1,1,1,5,High School,Computer Science,University of Central Florida,Man,Black or African American,1
rhea.anne55,37,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,36,0,1,1,1,1,Freshman,Computer Science,University of Central Florida,Woman,Prefer not to answer,1
mica330,111,0,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,112,0,1,1,1,5,Freshman,Computer Science,University of Central Florida,Woman,Hispanic / Latino / Spanish Origin,1
oldthumper,53,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,75,0,1,1,1,5,High School,Computer Science,University of Central Florida,Man,White,1
r_e_x__m_o_r_t_e_m,86,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,86,0,1,1,1,7,Freshman,Computer Science,University of Central Florida,Prefer not to answer,Prefer not to answer,1
anthonyyyy76,85,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,85,0,2,1,1,1,Freshman,Computer Engineering,University of Central Florida,Man,White,1
sameer053822,85,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,447,0,4,2,1,0,Sophomore,Computer Science,University of Central Florida,Man,Native Hawaiian or Other Pacific Islander,1
penink_,85,0,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,84,0,32,11,3,5,Freshman,Computer Science,University of Central Florida,Man,Asian,1
pobs2350,154,2,5,2,0,,0,,0,,2,1,0,,0,,0,,0,,0,,0,,0,1,1,662,1,91,32,4,16,Senior,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
vynsyntt,69,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,68,0,1,1,1,1,Freshman,Computer Science,University of Central Florida,Man,Black or African American,1
ipadnm,86,10,12,7,2,0.2,0,,3,0.3,2,0.2,0,,0,,0,,0,,3,0.3,0,,0,1,1,85,0,1,1,1,10,Junior,Computer Science,University of Central Florida,Man,White,1
aineshy,37,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,37,0,1,1,1,2,Freshman,Computer Science,University of Central Florida,Man,Asian,1
wafflepkmn,76,1,1,1,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,404,0,2,1,1,5,Junior,Computer Science,University of Central Florida,Man,Asian,1
gridglxy,84,1,6,4,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,114,1,738,40,8,12,Junior,Computer Science,Valencia College,Man,Black or African American,1
d4rk_memes64,51,1,1,1,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,74,0,4,3,3,5,High School,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
petertrinh04,292,0,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,334,0,3,2,2,5,Senior,Computer Science,University of Central Florida,Man,Asian,1
.ghost1736,36,1,1,1,0,,0,,0,,0,,0,,0,,0,,1,1,0,,0,,0,1,1,75,1,2,2,2,14,Senior,Information Technology,University of Central Florida,Man,White,1
yeimsqueso,77,9,14,7,0,,0,,0,,1,0.1111111111111111,0,,0,,0,,8,0.8888888888888888,0,,14,9.21428571428571,1,1,1,208,1,43,16,8,20,Sophomore,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
_adrift_,69,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,68,0,1,1,1,5,Freshman,Computer Science,University of Central Florida,Non-binary,White,1
sharpie4821,74,0,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,105,0,2,2,2,6,Senior,Computer Science,University of Central Florida,Prefer not to answer,Prefer not to answer,1
lil_rat_brat,309,10,14,8,2,0.2,1,0.1,2,0.2,0,,0,,0,,0,,4,0.4,1,0.1,0,,0,1,1,471,1,410,34,7,14,Junior,Information Technology,University of Central Florida,Prefer not to answer,Asian,1
gaf2020,308,34,39,10,5,0.14705882352941177,1,0.029411764705882353,4,0.11764705882352941,2,0.058823529411764705,4,0.11764705882352941,1,0.029411764705882353,2,0.058823529411764705,14,0.4117647058823529,1,0.029411764705882353,42,10,1,0,1,432,1,129,45,8,29,Sophomore,Computer Science,University of Central Florida,Non-binary,Hispanic / Latino / Spanish Origin,1
zekethebeasty,76,6,5,2,1,0.16666666666666666,1,0.16666666666666666,0,,0,,0,,0,,0,,4,0.6666666666666666,0,,0,,0,1,1,214,1,220,19,3,17,Senior,Computer Science,University of Central Florida,Man,Other,1
h1yt3,36,2,2,1,0,,0,,0,,0,,0,,0,,0,,2,1,0,,0,,0,1,1,66,1,1,1,1,13,High School,Computer Science,University of Central Florida,Man,White,1
readymercury,74,1,2,1,0,,0,,0,,0,,0,,0,,0,,1,1,0,,0,,0,0,1,74,0,2,2,2,4,Freshman,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
mustafa.___.,76,0,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,76,0,3,3,2,8,Junior,Computer Science,University of Central Florida,Man,Middle Eastern,1
taylor997.,77,1,1,1,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,79,0,1,1,1,2,High School,Computer Science,University of Central Florida,Man,White,1
hulktank256,70,9,11,4,1,0.1111111111111111,0,,3,0.3333333333333333,1,0.1111111111111111,0,,0,,0,,1,0.1111111111111111,3,0.3333333333333333,0,,0,1,1,82,0,44,11,8,6,High School,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
akhilesh_r,76,7,5,2,1,0.14285714285714285,0,,0,,1,0.14285714285714285,0,,0,,0,,3,0.42857142857142855,2,0.2857142857142857,5,10,1,1,1,182,1,7,4,4,9,Sophomore,Computer Science,University of Central Florida,Man,Asian,1
a_salt_rifle.,17,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,139,0,1,1,1,2,High School,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
dvidal1205,169,10,11,5,2,0.2,0,,2,0.2,1,0.1,0,,0,,0,,3,0.3,2,0.2,0,,0,0,1,856,1,7395,331,27,40,Junior,Computer Science,University of Central Florida,Man,Asian,1
shadowdweller07,69,8,7,2,0,,0,,1,0.125,0,,1,0.125,0,,0,,6,0.75,0,,0,,0,1,1,85,1,113,27,8,10,Freshman,Computer Science,University of Central Florida,Man,White,1
pengi_dev,298,11,17,9,2,0.18181818181818182,0,,4,0.36363636363636365,2,0.18181818181818182,0,,0,,0,,1,0.09090909090909091,2,0.18181818181818182,2,10,1,1,1,440,1,2,2,2,18,High School,Computer Science,University of Central Florida,Prefer not to answer,Prefer not to answer,1
cloudd99,73,0,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,73,0,1,1,1,4,Senior,Computer Science,University of Central Florida,Man,Asian,1
tahxmid,63,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,66,0,1,1,1,2,Freshman,Computer Science,University of Central Florida,Man,Asian,1
zoidlava,77,3,5,3,0,,0,,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,0,,0,,0,,0,,0,,0,1,1,81,1,27,3,5,10,Freshman,Computer Science,University of Central Florida,Prefer not to answer,Prefer not to answer,1
spyd3rman9,285,30,36,8,5,0.16666666666666666,1,0.03333333333333333,5,0.16666666666666666,1,0.03333333333333333,1,0.03333333333333333,1,0.03333333333333333,2,0.06666666666666667,12,0.4,2,0.06666666666666667,37,8,1,1,1,307,1,7,7,4,21,Sophomore,Computer Science,University of Central Florida,Man,White,1
nicky_doodlezz,76,13,13,5,2,0.15384615384615385,0,,2,0.15384615384615385,3,0.23076923076923078,0,,0,,0,,0,,6,0.46153846153846156,0,,0,1,1,402,0,81,20,7,12,Sophomore,Computer Science,University of Central Florida,Woman,Hispanic / Latino / Spanish Origin,1
zeroseven_0x07,73,2,6,3,0,,0,,0,,1,0.5,0,,0,,0,,1,0.5,0,,0,,0,0,1,148,0,9,2,2,11,Junior,Data Science,University of Central Florida,Man,Black or African American,1
bubbles9021,76,2,3,3,1,0.5,0,,1,0.5,0,,0,,0,,0,,0,,0,,0,,0,1,1,358,1,3,2,2,10,Senior,Computer Science,University of Central Florida,Man,Middle Eastern,1
polina,63,4,6,3,1,0.25,1,0.25,0,,1,0.25,1,0.25,0,,0,,0,,0,,0,,0,1,1,1903,1,30,11,2,21,Junior,Computer Science,University of Central Florida,Prefer not to answer,Prefer not to answer,1
aziz.u17,74,6,11,6,0,,0,,2,0.3333333333333333,1,0.16666666666666666,0,,0,,0,,1,0.16666666666666666,2,0.3333333333333333,0,,0,1,1,85,0,1,1,1,5,Sophomore,Computer Science,University of Central Florida,Man,Prefer not to answer,1
porobone,76,3,8,6,0,,1,0.3333333333333333,0,,0,,0,,0,,0,,2,0.6666666666666666,0,,1,9,1,0,1,76,0,1,1,1,5,Freshman,Computer Science,University of Central Florida,Man,Asian,1
pablosofuego,308,2,3,1,1,0.5,0,,0,,0,,0,,0,,0,,1,0.5,0,,0,,0,0,1,389,0,0,0,0,4,Sophomore,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
realbirdbrain,16,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1159,0,24,6,3,14,Senior,Computer Science,University of Central Florida,Man,Asian,1
yasmine0577,49,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,48,0,2,1,2,1,Graduate,Computer Science,University of Central Florida,Prefer not to answer,Prefer not to answer,1
chasetheplace,73,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,813,0,0,0,0,0,Junior,Computer Science,University of Central Florida,Man,Asian,1
michelle.j4508,56,1,1,1,0,,0,,0,,1,1,0,,0,,0,,0,,0,,0,,0,1,1,105,0,1,1,1,2,Freshman,Computer Science,University of Central Florida,Woman,Asian,1
cutyourhair,63,2,2,1,1,0.5,0,,0,,0,,0,,0,,0,,0,,1,0.5,0,,0,1,1,85,0,1,1,1,8,Freshman,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
223chilly,72,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,72,0,1,1,1,4,Freshman,Mathematics,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
sdxdwrry,76,2,8,7,1,0.5,0,,1,0.5,0,,0,,0,,0,,0,,0,,0,,0,1,1,75,0,1,1,1,5,Freshman,Computer Engineering,University of Central Florida,Prefer not to answer,Prefer not to answer,1
laugh_s,67,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,151,0,734,37,3,8,Freshman,Computer Engineering,University of Central Florida,Prefer not to answer,Prefer not to answer,1
zenjivii,63,1,1,1,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,62,0,1,1,1,2,Sophomore,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
eagetal96,76,0,2,2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,75,0,1,1,1,4,High School,Computer Science,University of Central Florida,Prefer not to answer,Prefer not to answer,1
adekunbi15,67,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,67,0,1,1,1,1,Freshman,Computer Science,University of Central Florida,Woman,Black or African American,1
dedevine,72,2,4,1,0,,0,,1,0.5,0,,0,,0,,0,,1,0.5,0,,0,,0,1,1,77,0,1,1,1,9,Freshman,Computer Science,University of Central Florida,Man,Prefer not to answer,1
panfilovvv,62,2,2,1,1,0.5,0,,0,,0,,0,,0,,0,,1,0.5,0,,0,,0,0,1,105,0,3,3,2,3,Sophomore,Mechanical Engineering,University of Central Florida,Woman,Asian,1
_genericjoe_,72,3,6,4,1,0.3333333333333333,0,,1,0.3333333333333333,0,,0,,0,,0,,1,0.3333333333333333,0,,0,,0,1,1,449,0,13,9,3,11,Junior,Computer Science,University of Central Florida,Man,Black or African American,1
joshuae_94024,76,5,11,7,1,0.2,0,,1,0.2,0,,0,,0,,0,,2,0.4,1,0.2,0,,0,1,1,437,1,1,1,1,14,Junior,Computer Science,University of Central Florida,Man,Black or African American,1
jwil29,49,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,145,0,1,1,1,1,Freshman,Computer Science,University of Central Florida,Prefer not to answer,Prefer not to answer,1
lavasharrk,22,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,79,0,1,1,1,4,Freshman,Physics,University of Central Florida,Prefer not to answer,Prefer not to answer,1
huterrat,292,12,10,2,3,0.25,0,,1,0.08333333333333333,1,0.08333333333333333,1,0.08333333333333333,0,,0,,4,0.3333333333333333,2,0.16666666666666666,0,,0,1,1,941,1,83,22,4,24,Senior,Computer Science,University of Central Florida,Prefer not to answer,Prefer not to answer,1
skivator,84,5,8,4,1,0.2,0,,0,,0,,0,,0,,0,,3,0.6,1,0.2,0,,0,1,1,813,1,51,13,3,14,Junior,Computer Science,University of Central Florida,Man,White,1
andrewchen19,76,1,1,1,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,75,0,1,1,1,4,Freshman,Computer Science,University of Central Florida,Man,Asian,1
carlos145_,72,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,76,1,2,2,2,6,Sophomore,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
don21tello,79,3,5,1,0,,0,,1,0.3333333333333333,0,,0,,0,,0,,2,0.6666666666666666,0,,0,,0,0,0,,0,0,0,0,0,Senior,Finance,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
earthlytomcat11,62,0,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,460,1,2,2,2,20,Sophomore,Computer Science,University of Central Florida,Man,Asian,1
mysticchase0250,84,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,105,1,6,4,3,11,Sophomore,Information Technology,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
_meli57,76,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,449,0,0,0,0,9,Sophomore,Computer Science,University of Central Florida,Woman,Asian,1
ozzy_fozzy01389,76,2,4,3,2,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,75,0,1,1,1,5,Sophomore,Information Technology,University of Central Florida,Woman,White,1
fxnction_,308,9,12,5,3,0.3333333333333333,0,,2,0.2222222222222222,2,0.2222222222222222,1,0.1111111111111111,0,,0,,0,,1,0.1111111111111111,0,,0,1,1,1208,0,27,20,8,10,Junior,Computer Science,University of Central Florida,Man,Black or African American,1
windowcleaner,62,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,428,0,0,0,0,5,Graduate,Data Science,University of Central Florida,Man,Prefer not to answer,1
lucksdev,309,23,24,8,4,0.17391304347826086,1,0.043478260869565216,5,0.21739130434782608,1,0.043478260869565216,2,0.08695652173913043,1,0.043478260869565216,1,0.043478260869565216,8,0.34782608695652173,0,,24,7.04166666666667,1,1,1,454,1,165,63,11,20,Junior,Computer Science,University of Central Florida,Man,White,1
booneylooney,147,0,2,2,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,9,1,1,1,429,1,172,28,6,23,Junior,Computer Engineering,University of Central Florida,Man,White,1
aishi143,76,1,3,2,0,,0,,0,,0,,0,,0,,0,,1,1,0,,0,,0,1,1,184,1,1,1,1,8,Sophomore,Computer Science,University of Central Florida,Woman,Asian,1
sofi3752,55,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,104,1,1,1,1,9,Junior,Computer Science,University of Central Florida,Woman,Hispanic / Latino / Spanish Origin,1
marib50,53,1,1,1,0,,0,,0,,1,1,0,,0,,0,,0,,0,,0,,0,1,1,229,0,1,1,1,12,Junior,Computer Science,University of Central Florida,Man,Black or African American,1
daniel31341,76,8,9,5,2,0.25,0,,0,,0,,0,,0,,0,,6,0.75,0,,0,,0,1,1,105,0,1,1,1,5,Freshman,Computer Science,University of Central Florida,Man,White,1
antoniomacias2004,71,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,96,0,1,1,1,1,Senior,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
cristofferb7,55,2,2,1,1,0.5,0,,1,0.5,0,,0,,0,,0,,0,,0,,0,,0,1,1,54,0,36,7,6,5,Senior,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
jessi_9125,76,3,3,2,2,0.6666666666666666,0,,1,0.3333333333333333,0,,0,,0,,0,,0,,0,,0,,0,1,1,75,1,18,4,3,8,Sophomore,Computer Science,University of Central Florida,Woman,White,1
radmagnetix,60,8,8,3,1,0.125,0,,3,0.375,1,0.125,1,0.125,0,,0,,0,,2,0.25,0,,0,1,1,85,0,1,1,1,5,Freshman,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
mrdev123,71,3,5,4,0,,0,,1,0.3333333333333333,0,,0,,0,,0,,2,0.6666666666666666,0,,0,,0,1,1,128,1,8,6,4,19,Freshman,Computer Science,University of Central Florida,Man,White,1
datsmyqueue,76,1,4,1,0,,0,,1,1,0,,0,,0,,0,,0,,0,,0,,0,0,1,85,0,1,1,1,5,Freshman,Computer Engineering,University of Central Florida,Man,White,1
nunyabsns2048,308,6,10,4,1,0.16666666666666666,0,,3,0.5,0,,1,0.16666666666666666,1,0.16666666666666666,0,,0,,0,,0,,0,1,1,476,0,55,16,5,14,Sophomore,Computer Science,University of Central Florida,Woman,Asian,1
unve,308,8,8,3,1,0.125,0,,3,0.375,0,,0,,3,0.375,0,,0,,1,0.125,0,,0,1,1,449,1,0,0,0,11,Sophomore,Computer Science,University of Central Florida,Man,Asian,1
shdwz,308,20,25,9,2,0.1,0,,4,0.2,4,0.2,2,0.1,0,,0,,6,0.3,2,0.1,13,9.69230769230769,1,1,1,446,1,35,15,4,23,Sophomore,Computer Science,University of Central Florida,Man,Black or African American,1
justkins_,69,1,2,1,0,,0,,0,,0,,0,,0,,0,,1,1,0,,0,,0,0,1,66,0,1,1,1,1,Freshman,Computer Engineering,University of Central Florida,Man,Asian,1
corabigsky,55,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,669,0,0,0,0,5,Senior,Computer Science,University of Central Florida,Woman,Prefer not to answer,1
zookfish,308,4,5,2,0,,1,0.25,0,,0,,0,,0,,0,,2,0.5,1,0.25,1,10,1,1,1,524,1,66,24,12,18,Senior,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
jessieissej,308,4,6,2,2,0.5,1,0.25,0,,1,0.25,0,,0,,0,,0,,0,,0,,0,1,1,305,0,9,5,3,15,Senior,Computer Science,University of Central Florida,Prefer not to answer,Middle Eastern,1
b0bdabu1lder,309,12,16,3,2,0.16666666666666666,0,,1,0.08333333333333333,0,,0,,2,0.16666666666666666,0,,6,0.5,1,0.08333333333333333,0,,0,1,1,813,1,711,132,11,25,Senior,Computer Science,University of Central Florida,Man,Black or African American,1
gmgm123456789,76,1,5,4,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,576,1,200,51,8,7,Sophomore,Mathematics,University of Central Florida,Man,Prefer not to answer,1
henrymack7,70,0,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,105,0,2,1,1,5,Junior,Mechanical Engineering,University of Central Florida,Man,Asian,1
david_navarrete,309,8,11,4,2,0.25,0,,0,,0,,0,,0,,0,,6,0.75,0,,0,,0,1,1,797,1,3,1,1,21,Junior,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
developernamedjohn,76,1,1,1,0,,0,,0,,0,,0,,0,,0,,0,,1,1,0,,0,0,1,85,0,15,7,7,1,High School,Digital Media,University of Central Florida,Man,White,1
adkat24,70,1,1,1,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,780,0,0,0,0,11,Senior,Computer Science,University of Central Florida,Man,White,1
miehai,76,4,7,4,1,0.25,0,,0,,0,,0,,0,,0,,1,0.25,2,0.5,0,,0,1,1,1020,0,6,3,1,17,Junior,Computer Science,University of Central Florida,Woman,Asian,1
vik999_,70,1,1,1,0,,0,,1,1,0,,0,,0,,0,,0,,0,,0,,0,1,1,85,0,2,2,2,2,Graduate,Computer Science,University of Central Florida,Man,Asian,1
lernej,83,5,11,4,1,0.2,0,,0,,1,0.2,0,,0,,0,,1,0.2,2,0.4,0,,0,1,1,122,0,21,6,3,6,High School,Computer Science,University of Central Florida,Man,Asian,1
omarisiphone,75,0,3,3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1011,0,4,2,1,4,Senior,Computer Science,University of Central Florida,Man,Black or African American,1
lemonzee.,32,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,182,0,1,1,1,2,Junior,Computer Science,University of Central Florida,Woman,Prefer not to answer,1
adr.ian_,309,16,15,2,2,0.125,1,0.0625,1,0.0625,1,0.0625,2,0.125,4,0.25,1,0.0625,4,0.25,0,,1,10,1,0,1,888,1,5886,305,17,21,Senior,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
eddiewithaneye,75,3,5,3,0,,0,,2,0.6666666666666666,1,0.3333333333333333,0,,0,,0,,0,,0,,0,,0,1,1,76,0,80,11,4,9,Junior,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
chrisxxc,176,19,22,7,1,0.05263157894736842,1,0.05263157894736842,2,0.10526315789473684,3,0.15789473684210525,3,0.15789473684210525,0,,0,,5,0.2631578947368421,4,0.21052631578947367,19,9.89473684210526,1,1,1,426,1,784,79,12,20,Sophomore,Computer Science,University of Central Florida,Man,Asian,1
cooler_hiso,75,8,14,8,1,0.125,1,0.125,2,0.25,3,0.375,0,,0,,0,,1,0.125,0,,0,,0,1,1,76,1,7,3,3,12,Junior,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
luxx4600,67,1,3,3,0,,0,,0,,0,,0,,0,,0,,1,1,0,,0,,0,1,1,98,0,85,5,3,6,High School,Computer Science,University of Central Florida,Prefer not to answer,Prefer not to answer,1
acoriana6267,75,1,1,1,0,,0,,1,1,0,,0,,0,,0,,0,,0,,0,,0,0,1,75,0,2,1,1,1,Sophomore,Biochemistry,University of Central Florida,Woman,White,1
hector.cordero,76,3,7,3,0,,0,,2,0.6666666666666666,0,,0,,0,,0,,0,,1,0.3333333333333333,0,,0,1,1,449,1,0,0,0,21,Senior,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
buhgowsh,306,26,24,5,4,0.15384615384615385,1,0.038461538461538464,5,0.19230769230769232,1,0.038461538461538464,4,0.15384615384615385,2,0.07692307692307693,2,0.07692307692307693,7,0.2692307692307692,0,,1,8,1,1,1,402,1,400,55,9,13,Junior,Computer Science,University of Central Florida,Man,White,1
