member_days_since_join,events_attended_year,distinct_event_days_year,attendance_streak_weeks,n_workshops_year,n_socials_year,workshop_ratio,social_ratio,feedback_count_year,avg_event_rating_given,left_any_feedback,has_gone_to_hackathon,discord_member,discord_days_since_join,has_role_ops,discord_msgs_year,discord_active_days_year,discord_channels_posted_year,discord_num_roles,y_paid_dues,n_other_events,other_ratio,school_grouped,major_grouped,level_grouped,tenure_years,is_discord_active
57,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,0,1,661.0,0,931,120,9,11,1,0,0.0,UCF,Tech,Undergraduate,0.15616438356164383,1
308,3,3,1,0,0,0.0,0.0,0,9.084256095825644,0,1,1,449.0,0,0,0,0,4,1,3,1.0,UCF,Tech,Undergraduate,0.8438356164383561,0
309,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,1,1,583.0,0,0,0,0,4,1,0,0.0,UCF,Tech,Undergraduate,0.8465753424657534,0
308,15,15,4,7,0,0.4666666666666667,0.0,0,9.084256095825644,0,1,1,448.0,0,5,3,1,12,1,8,0.5333333333333333,UCF,Tech,Undergraduate,0.8438356164383561,1
76,8,8,4,2,0,0.25,0.0,0,9.084256095825644,0,1,1,101.0,0,1,1,1,5,1,6,0.75,UCF,Tech,Undergraduate,0.20821917808219179,1
298,3,3,1,0,0,0.0,0.0,0,9.084256095825644,0,1,1,299.0,0,5,4,2,3,1,3,1.0,UCF,Tech,Undergraduate,0.8164383561643835,1
308,5,5,1,3,0,0.6,0.0,0,9.084256095825644,0,0,1,833.0,0,10,3,2,11,1,2,0.4,UCF,Tech,Undergraduate,0.8438356164383561,1
309,1,1,1,0,0,0.0,0.0,0,9.084256095825644,0,0,1,1143.0,0,3,2,1,15,1,1,1.0,UCF,Tech,Grad/Other,0.8465753424657534,1
309,13,12,6,2,0,0.15384615384615385,0.0,0,9.084256095825644,0,1,1,448.0,0,2,2,1,13,1,11,0.8461538461538461,UCF,Tech,Undergraduate,0.8465753424657534,1
83,1,1,1,0,0,0.0,0.0,0,9.084256095825644,0,1,1,883.0,0,14,2,2,2,1,1,1.0,UCF,Tech,Undergraduate,0.2273972602739726,1
76,6,6,4,0,0,0.0,0.0,0,9.084256095825644,0,1,1,152.0,0,1,1,1,6,1,6,1.0,UCF,Tech,Undergraduate,0.20821917808219179,1
70,9,9,4,3,1,0.3333333333333333,0.1111111111111111,0,9.084256095825644,0,1,1,449.0,1,15,4,1,7,1,5,0.5555555555555556,UCF,Tech,Undergraduate,0.1917808219178082,1
83,4,4,4,0,1,0.0,0.25,0,9.084256095825644,0,1,1,85.0,0,23,11,3,8,1,3,0.75,UCF,Tech,Undergraduate,0.2273972602739726,1
294,3,3,1,1,0,0.3333333333333333,0.0,0,9.084256095825644,0,1,1,470.0,0,0,0,0,6,1,2,0.6666666666666666,UCF,Tech,Undergraduate,0.8054794520547945,0
294,6,6,4,3,0,0.5,0.0,0,9.084256095825644,0,1,1,439.0,1,18,4,2,21,1,3,0.5,UCF,Tech,Undergraduate,0.8054794520547945,1
76,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,1,1,430.0,0,0,0,0,5,1,0,0.0,UCF,Tech,Undergraduate,0.20821917808219179,0
298,6,6,3,0,0,0.0,0.0,0,9.084256095825644,0,1,1,367.0,0,22,4,3,11,1,6,1.0,UCF,Tech,Undergraduate,0.8164383561643835,1
292,3,3,1,0,0,0.0,0.0,0,9.084256095825644,0,1,1,1193.0,1,255,71,7,19,1,3,1.0,UCF,Tech,Undergraduate,0.8,1
292,7,7,5,2,0,0.2857142857142857,0.0,0,9.084256095825644,0,1,1,817.0,0,0,0,0,12,1,5,0.7142857142857143,UCF,Tech,Undergraduate,0.8,0
301,20,18,8,0,2,0.0,0.1,0,9.084256095825644,0,1,1,558.0,1,3233,284,20,14,1,18,0.9,UCF,Tech,Undergraduate,0.8246575342465754,1
297,7,7,3,1,0,0.14285714285714285,0.0,0,9.084256095825644,0,0,1,438.0,1,504,74,11,20,1,6,0.8571428571428571,UCF,Tech,Undergraduate,0.8136986301369863,1
64,9,9,3,1,1,0.1111111111111111,0.1111111111111111,0,9.084256095825644,0,1,1,160.0,1,151,19,4,20,1,7,0.7777777777777778,UCF,Tech,Undergraduate,0.17534246575342466,1
28,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,1,1,33.0,0,7,2,2,2,1,0,0.0,UCF,Tech,Undergraduate,0.07671232876712329,1
